pair_id,type,text_a,text_b,similarity_score,sources,notes,category
b459b536-a6e6-4979-b092-604dcf08c0d5,synonym,手太阴肺经,肺经,5,Iaees:十二经脉|http://www.iaees.org/publications/software/acudata/meridian.asp,标准名-别名同义映射,经络/脏腑
fba0bf83-42e5-4925-91f7-f1c1db2f50ed,synonym,手厥阴心包经,心包经,5,Iaees:十二经脉|http://www.iaees.org/publications/software/acudata/meridian.asp,标准名-别名同义映射,经络/脏腑
c5ce5a20-4601-4fed-8ff4-d2fdbdfb57b9,synonym,手少阴心经,心经,5,Iaees:十二经脉|http://www.iaees.org/publications/software/acudata/meridian.asp,标准名-别名同义映射,经络/脏腑
6f90134d-1b3f-4c5a-93a3-b076c900e4f4,synonym,手阳明大肠经,大肠经,5,Iaees:十二经脉|http://www.iaees.org/publications/software/acudata/meridian.asp,标准名-别名同义映射,经络/脏腑
c5cbe7e5-21f3-4c59-9820-418650118d4c,synonym,手少阳三焦经,三焦经,5,Iaees:十二经脉|http://www.iaees.org/publications/software/acudata/meridian.asp,标准名-别名同义映射,经络/脏腑
466314d9-2f26-46e9-baf1-66c397b662bd,synonym,手太阳小肠经,小肠经,5,Iaees:十二经脉|http://www.iaees.org/publications/software/acudata/meridian.asp,标准名-别名同义映射,经络/脏腑
e56df063-c7f0-4ab1-8e14-0a3c32bac10f,synonym,足太阴脾经,脾经,5,Iaees:十二经脉|http://www.iaees.org/publications/software/acudata/meridian.asp,标准名-别名同义映射,经络/脏腑
facc6bbf-48df-4cc7-a9e5-1d1d1e822340,synonym,足厥阴肝经,肝经,5,Iaees:十二经脉|http://www.iaees.org/publications/software/acudata/meridian.asp,标准名-别名同义映射,经络/脏腑
11b858e4-95c2-4e36-a31a-91b841163fba,synonym,足少阴肾经,肾经,5,Iaees:十二经脉|http://www.iaees.org/publications/software/acudata/meridian.asp,标准名-别名同义映射,经络/脏腑
e352a8d3-5317-4bfc-9902-a88dd0a16e10,synonym,足阳明胃经,胃经,5,Iaees:十二经脉|http://www.iaees.org/publications/software/acudata/meridian.asp,标准名-别名同义映射,经络/脏腑
b4960528-c634-4253-9c03-6227dc8593cc,synonym,足少阳胆经,胆经,5,Iaees:十二经脉|http://www.iaees.org/publications/software/acudata/meridian.asp,标准名-别名同义映射,经络/脏腑
970b8651-9ebc-4267-b45d-61b749a655e6,synonym,足太阳膀胱经,膀胱经,5,Iaees:十二经脉|http://www.iaees.org/publications/software/acudata/meridian.asp,标准名-别名同义映射,经络/脏腑
78c8c5a2-d7d4-452c-9584-b442a309084e,synonym,里寒证,内寒证,5,GB/T 16751.2-2021 证候标准PDF|https://www.cacm.org.cn/wp-content/uploads/2022/03/中医临床诊疗术语-第2部分：证候.pdf,标准名-别名同义映射,证候/病机
897f37b5-e0a4-4710-a5ba-f85979ab729e,synonym,表里实寒证,表里俱寒证,5,GB/T 16751.2-2021 证候标准PDF|https://www.cacm.org.cn/wp-content/uploads/2022/03/中医临床诊疗术语-第2部分：证候.pdf,标准名-别名同义映射,证候/病机
f22cfe2b-b553-42f0-a832-7e3434650560,synonym,真寒假热证,阴盛格阳证,5,GB/T 16751.2-2021 证候标准PDF|https://www.cacm.org.cn/wp-content/uploads/2022/03/中医临床诊疗术语-第2部分：证候.pdf,标准名-别名同义映射,证候/病机
3911f514-2f27-4f9a-b899-a07f31af13c8,synonym,里热证,里热炽盛证,5,GB/T 16751.2-2021 证候标准PDF|https://www.cacm.org.cn/wp-content/uploads/2022/03/中医临床诊疗术语-第2部分：证候.pdf,标准名-别名同义映射,证候/病机
c8d6d6e7-da4f-42e7-b737-1f4fa4176686,synonym,里热证,实热证,5,GB/T 16751.2-2021 证候标准PDF|https://www.cacm.org.cn/wp-content/uploads/2022/03/中医临床诊疗术语-第2部分：证候.pdf,标准名-别名同义映射,证候/病机
